ID_yr,Site,Year,Species,Treatment,spp_trt,Phytometer,Neighbour,light,carbon,WUE,gs
PTY1_2016,PTY1,2016,Phragmites,Competition,Phragmites_Typha_Competition,Phragmites_Typha,Typha,1500,17.7,3.06,255
PTY1_2016,PTY1,2016,Phragmites,Competition,Phragmites_Typha_Competition,Phragmites_Typha,Typha,1000,15.6,2.77,223
PTY1_2016,PTY1,2016,Phragmites,Competition,Phragmites_Typha_Competition,Phragmites_Typha,Typha,500,11.6,2.16,200
PTY1_2016,PTY1,2016,Phragmites,Competition,Phragmites_Typha_Competition,Phragmites_Typha,Typha,200,5.2,1.17,169
PTY1_2016,PTY1,2016,Phragmites,Competition,Phragmites_Typha_Competition,Phragmites_Typha,Typha,100,2.2,0.59,131
PTY1_2016,PTY1,2016,Phragmites,Competition,Phragmites_Typha_Competition,Phragmites_Typha,Typha,50,0.3,0.1,99
PTY1_2016,PTY1,2016,Phragmites,Competition,Phragmites_Typha_Competition,Phragmites_Typha,Typha,0,-0.8,-0.3,85
PTY1CU_2016,PTY1CU,2016,Phragmites,No competition,Phragmites_Typha_No competition,Phragmites_Typha,Typha,1500,22.5,3.57,274
PTY1CU_2016,PTY1CU,2016,Phragmites,No competition,Phragmites_Typha_No competition,Phragmites_Typha,Typha,1000,19.1,3.13,261
PTY1CU_2016,PTY1CU,2016,Phragmites,No competition,Phragmites_Typha_No competition,Phragmites_Typha,Typha,500,13.4,2.36,217
PTY1CU_2016,PTY1CU,2016,Phragmites,No competition,Phragmites_Typha_No competition,Phragmites_Typha,Typha,200,5.9,1.14,188
PTY1CU_2016,PTY1CU,2016,Phragmites,No competition,Phragmites_Typha_No competition,Phragmites_Typha,Typha,100,2.6,0.6,156
PTY1CU_2016,PTY1CU,2016,Phragmites,No competition,Phragmites_Typha_No competition,Phragmites_Typha,Typha,50,0.9,0.27,114
PTY1CU_2016,PTY1CU,2016,Phragmites,No competition,Phragmites_Typha_No competition,Phragmites_Typha,Typha,0,-0.4,-0.15,81
PTY2_2016,PTY2,2016,Phragmites,Competition,Phragmites_Typha_Competition,Phragmites_Typha,Typha,1500,16.8,3.3,199
PTY2_2016,PTY2,2016,Phragmites,Competition,Phragmites_Typha_Competition,Phragmites_Typha,Typha,1000,14.5,3.16,166
PTY2_2016,PTY2,2016,Phragmites,Competition,Phragmites_Typha_Competition,Phragmites_Typha,Typha,500,11,2.89,133
PTY2_2016,PTY2,2016,Phragmites,Competition,Phragmites_Typha_Competition,Phragmites_Typha,Typha,200,5.6,1.55,122
PTY2_2016,PTY2,2016,Phragmites,Competition,Phragmites_Typha_Competition,Phragmites_Typha,Typha,100,2,0.68,125
PTY2_2016,PTY2,2016,Phragmites,Competition,Phragmites_Typha_Competition,Phragmites_Typha,Typha,50,-0.1,-0.02,185
PTY2_2016,PTY2,2016,Phragmites,Competition,Phragmites_Typha_Competition,Phragmites_Typha,Typha,0,-1.5,-0.42,130
